_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,spaceID,stationID,userID,duracion_horas
5e3cbdbdf9af8b0661a4131b,2020-01-21 20:32:40+00:00,2020-01-21 21:48:04+00:00,2020-01-21 21:03:23+00:00,0.916,0002,CA-312,2-39-124-22,,1.2566666666666666
5e3cbdbdf9af8b0661a4131c,2020-01-21 20:47:57+00:00,2020-01-22 02:41:21+00:00,2020-01-21 22:49:47+00:00,6.592,0002,CA-490,2-39-79-381,000001124,5.89
5e3cbdbdf9af8b0661a4131d,2020-01-21 20:51:55+00:00,2020-01-21 22:09:45+00:00,2020-01-21 21:35:11+00:00,1.713,0002,CA-502,2-39-88-438,000001093,1.2972222222222223
5e3cbdbdf9af8b0661a4131e,2020-01-21 21:10:52+00:00,2020-01-22 03:42:15+00:00,2020-01-21 23:16:19+00:00,7.017,0002,CA-304,2-39-138-29,000000515,6.523055555555556
5e3cbdbdf9af8b0661a4131f,2020-01-21 22:03:02+00:00,2020-01-21 23:22:54+00:00,2020-01-21 23:22:49+00:00,4.221,0002,CA-312,2-39-124-22,000001236,1.3311111111111111
5e3cbdbdf9af8b0661a41320,2020-01-21 22:54:57+00:00,2020-01-22 01:12:08+00:00,2020-01-21 23:58:46+00:00,3.116,0002,CA-319,2-39-95-27,000001920,2.286388888888889
5e3cbdbdf9af8b0661a41321,2020-01-21 23:08:32+00:00,2020-01-22 00:43:51+00:00,2020-01-22 00:34:03+00:00,0.892,0002,CA-316,2-39-90-26,,1.5886111111111112
5e3cbdbdf9af8b0661a41322,2020-01-22 01:25:01+00:00,2020-01-22 16:52:24+00:00,2020-01-22 07:57:11+00:00,42.768,0002,CA-306,2-39-130-31,000000489,15.456388888888888
5e3cbdbdf9af8b0661a41323,2020-01-22 03:36:58+00:00,2020-01-22 04:33:47+00:00,2020-01-22 04:33:42+00:00,3.295,0002,CA-303,2-39-139-28,000000315,0.9469444444444445
5e3cbdbdf9af8b0661a41324,2020-01-22 03:43:29+00:00,2020-01-22 05:55:22+00:00,2020-01-22 05:55:18+00:00,11.702,0002,CA-310,2-39-126-20,000001099,2.1980555555555554
5e3cbdbdf9af8b0661a41325,2020-01-22 04:23:22+00:00,2020-01-22 05:45:24+00:00,2020-01-22 05:45:20+00:00,9.14,0002,CA-304,2-39-138-29,000001263,1.3672222222222221
5e3e0f32f9af8b0d07eefa40,2020-01-22 16:09:56+00:00,2020-01-22 21:10:40+00:00,2020-01-22 21:11:38+00:00,0.838,0002,CA-489,2-39-79-380,,5.012222222222222
5e3e0f32f9af8b0d07eefa41,2020-01-22 16:40:06+00:00,2020-01-22 19:31:22+00:00,2020-01-22 17:11:36+00:00,1.933,0002,CA-325,2-39-79-377,000000751,2.8544444444444443
5e3e0f32f9af8b0d07eefa42,2020-01-22 16:54:08+00:00,2020-01-23 00:33:44+00:00,2020-01-22 22:50:42+00:00,13.735,0002,CA-495,2-39-78-364,000001470,7.66
5e3e0f32f9af8b0d07eefa43,2020-01-22 16:58:07+00:00,2020-01-23 01:00:07+00:00,2020-01-22 18:25:07+00:00,2.862,0002,CA-303,2-39-139-28,000000620,8.033333333333333
5e3e0f32f9af8b0d07eefa44,2020-01-22 16:58:44+00:00,2020-01-23 02:02:21+00:00,2020-01-22 20:07:13+00:00,20.302,0002,CA-492,2-39-79-383,000001104,9.060277777777777
5e3e0f32f9af8b0d07eefa45,2020-01-22 17:00:48+00:00,2020-01-23 01:29:29+00:00,2020-01-22 17:56:22+00:00,2.765,0002,CA-497,2-39-95-444,000000858,8.478055555555555
5e3e0f32f9af8b0d07eefa46,2020-01-22 17:04:31+00:00,2020-01-22 17:40:23+00:00,2020-01-22 17:34:55+00:00,0.744,0002,CA-309,2-39-127-19,,0.5977777777777777
5e3e0f32f9af8b0d07eefa47,2020-01-22 17:10:11+00:00,2020-01-23 01:35:11+00:00,2020-01-22 18:28:39+00:00,3.775,0002,CA-315,2-39-89-25,000000743,8.416666666666666
5e3e0f32f9af8b0d07eefa48,2020-01-22 17:12:50+00:00,2020-01-22 18:20:41+00:00,2020-01-22 18:20:26+00:00,0.932,0002,CA-323,2-39-78-366,,1.1308333333333334
5e3e0f32f9af8b0d07eefa49,2020-01-22 17:12:57+00:00,2020-01-23 05:42:25+00:00,2020-01-22 18:22:54+00:00,3.74,0002,CA-305,2-39-131-30,000000567,12.491111111111111
5e3e0f32f9af8b0d07eefa4a,2020-01-22 17:23:43+00:00,2020-01-23 03:31:50+00:00,2020-01-22 19:16:05+00:00,5.705,0002,CA-311,2-39-125-21,000000562,10.135277777777778
5e3e0f32f9af8b0d07eefa4b,2020-01-22 17:26:42+00:00,2020-01-23 02:17:15+00:00,2020-01-22 20:58:57+00:00,12.166,0002,CA-317,2-39-91-437,000001364,8.8425
5e3e0f32f9af8b0d07eefa4c,2020-01-22 17:34:49+00:00,2020-01-22 21:25:42+00:00,2020-01-22 21:04:31+00:00,9.064,0002,CA-494,2-39-78-367,000004701,3.8480555555555553
5e3e0f32f9af8b0d07eefa4d,2020-01-22 17:39:13+00:00,2020-01-23 01:41:14+00:00,2020-01-22 19:29:25+00:00,6.063,0002,CA-319,2-39-95-27,000005368,8.033611111111112
